Sheet	#	Category	Answer
Business Req	2.4	Usage & Accuracy	Yes, and correlation goes deeper than trace ID. Akka events are linked by three correlation primitives: a shared executionId — every boundary event in a single user-facing decision (such as a loan application end-to-end) carries the same execution ID; a previousEventHash — a SHA-256 chain making causal order tamper-evident; and a causality structure — for parallel agents, multiple-parent causality so investigators can reconstruct which upstream events drove a downstream decision, not just trace-tree topology. Authority snapshot versioning lets investigators pivot from a slow span to the policy version that gated it, the model version that produced it, and the prompt template version that prompted it. Operationally a CRO can pivot from approval rate dropped 3% on Tuesday to all dropped approvals went through Model-A v3.2.1 to v3.2.1 was deployed at 14:00 to fairness review for v3.2.1 was 19 days overdue — in one investigation surface.
Business Req	2.5	Usage & Accuracy	Yes, and the feedback loop closes through durable memory, not external pipelines. Akka Memory provides sub-10ms read/write durable session and interaction history (versus 200ms bolt-on memory in competing stacks), the substrate for continuous context refinement. Quality signals (confabulation flags, HITL overrides, customer appeal outcomes) flow back as events that retrain prompt templates, RAG retrieval configs, and routing policies via automated workflows. Replay testing lets past executions be re-run against proposed prompt or policy changes without touching production, comparing outcomes such as how many of last week's denials would have been approvals under a new prompt version. AdaptiveML integration pipes interaction history to specialized small-language-model training, reducing token spend up to 70% versus foundry models — directly relevant to PNC's $350M continuous improvement target. The feedback loop is architectural — event-sourced, durable, replayable — not a wire-up exercise.
Business Req	2.6	Usage & Accuracy	Yes, at three granularities. Per-request (trace-level): which connector served which call, target resource ID, latency, errors. Per-execution (L1 evidence): authority snapshot at MCP invocation, delegated scope, policy version that authorized the connection. Aggregate (metrics): invocation count, latency distribution, error rate per connector — pivotable by agent, by tenant, by jurisdiction. If PNC needs to demonstrate that no agent contacted an unsanctioned vector store after a given date, that is one query against the L1 journal returning either zero events (proof) or the exact violations with full causal context.
Business Req	3.0	GenAI Risk
Business Req	3.1	GenAI Risk	Akka maps 51 of 53 NIST AI 600-1 controls as fully implemented (environmental impact tracking and one secondary control on the roadmap). For API-based GenAI specifically: authentication uses OpenID Connect and JWT at every API boundary, and per-event authority snapshots capture which credential authorized which action — auditable to the individual call, not just the session. Input validation runs at API boundaries with prompt-injection screening as a runtime policy gate, not a downstream evaluator. Rate limiting and quota enforcement are policy-driven with thresholds per tenant, agent, and risk tier. Immutable audit logging means every API interaction enters L1 with hash-chain integrity from day one, satisfying NIST tamper-evidence expectations. Geographic boundary enforcement is supported via sovereign-cloud deployment options that ensure traffic, data, and compute stay in-region (US, EU, UK, Singapore, Japan, Australia, China, Canada available); jurisdiction tags on L1 records prevent cross-region export. Documented evidence with per-control mapping to specific Akka features is available for PNC's audit review. What competitors (LangSmith, Arize) cannot match: the audit log is architecturally non-bypassable because it is the runtime's execution journal, not a logging layer.
Business Req	3.2	GenAI Risk	All seven NIST AI 600-1 GenAI risks for non-API solutions are addressed, and critically Akka enforces these as runtime gates, not post-hoc evaluations. CBRN information: output inspection with configurable content filters; the deny gate fires before the response is returned, not after a downstream scanner flags it. Confabulation: factual-consistency evaluation with policy-driven thresholds; failed outputs are blocked, logged, and surfaced for compliance review. Data privacy: geographic boundary enforcement, field-level access control, jurisdiction-tagged retention; PII detected at write time, redacted at export time (L1 itself is immutable to preserve forensic completeness). Data poisoning: input validation and provenance tracking for RAG sources; every retrieved chunk carries source ID, ingestion timestamp, and signature, and anomalous provenance triggers policy denial. Homogenization: multi-provider model orchestration prevents monoculture; routing policies can mandate model diversity per risk tier. Human-AI configuration: HITL gates at configurable boundaries with rubber-stamping detection (review duration under threshold for risk tier flags as anomaly — for example, a $500K loan approved in 3 seconds surfaces immediately). Information integrity: hash-chained immutable audit trail; output review mechanisms with logged reviewer identity, decision, and reasoning. Environmental impact tracking is on the roadmap.
Business Req	3.3	GenAI Risk	Agentic systems amplify every NIST risk because authority delegates, and Akka's architecture treats this as the central problem. Autonomous action containment: every agent operates within a delegated scope captured at the coordination boundary event; a child agent's L1 record carries its delegated scope, and a scope-compliance check runs on every action it takes; out-of-scope actions are denied at the runtime gate, not flagged after the fact. Multi-agent trust: inter-agent calls are mutually authenticated, and each carries the upstream caller's authority chain so a compromised agent cannot impersonate authorization it does not hold. Context manipulation prevention: input validation runs on injected context (RAG outputs, tool results) before that context reaches the next agent's prompt; prompt-injection patterns trigger policy denial. Orchestration integrity: workflows are event-sourced, deterministic, and replayable; intermediate state cannot be silently corrupted because every state transition is journaled and hash-chained. Human oversight: configurable HITL checkpoints with halt, override, and redirect primitives — Halt for immediate execution stop logged with cause type (policy violation, legal hold, human escalation); Override for emergency policy bypass logged with reason, requestor, and duration; Redirect to route to an alternate model or agent (for example, routing from a model entering retraining to a validated fallback) logged as a route-redirect event. The Authority Chain Auditor visualizes the full delegation tree for any execution, and Authority Gap Detection automatically surfaces executions where an agent acted without a corresponding policy binding. This is the capability gap LangChain, n8n, and Temporal cannot fill — none embed delegation governance in the runtime.
Business Req	3.4	GenAI Risk	Yes, and detection runs at three latencies. Sub-millisecond (gate-time): policy evaluation denies before action executes — prompt-injection patterns, scope violations, missing prerequisite events (such as adverse-action notice not yet generated for a denial), or out-of-cadence model use under SR 11-7. Real-time (stream): anomaly signals — error spikes, latency outliers, output size anomalies, evaluation-failure rate, HITL override rate, rubber-stamping rate, policy-denial spike — flow to the alert pipeline within seconds. Continuous (drift/posture): rolling baselines per agent on decision rate, fairness metrics (four-fifths rule for protected classes), token consumption, and model confidence; baseline drift triggers fairness-review requirements that downstream policies enforce. All three latencies write to the same L1 journal, so a real-time alert and a 90-day audit pull from the same evidence.
Business Req	3.5	GenAI Risk	Yes, with uniform policy enforcement across environments and environment-tier-aware thresholds. The same policy bundle deploys to dev, staging, and production with environment-specific parameters (for example, production fairness-review cadence at 30 days, dev at 90 days). Stricter thresholds in production do not change the control mechanism — they change a parameter; the gate, the logging, and the evidence schema are identical. Audit logging is consistent across environments, which is required for SR 11-7 because model validation evidence from staging must be admissible alongside production operation evidence. A Policy Sandbox lets agent engineers test deployments against the bound policy set in lower environments before promotion, and a Pre-flight Check validates a deployment against the production policy bundle without going live.
Business Req	4.0	Logging & Traceability
Business Req	4.1	Logging & Traceability	Yes, and the structure is purpose-built for regulatory defense, not just debugging. Captured per L1 event: the effective prompt (the actual rendered text sent to the model — not the template, the post-substitution string), the prompt template version and prompt parameters (variables substituted), the model output (completion, tool calls, structured response) with confidence score where provided, grounding context (every RAG chunk with source ID, retrieval rank, and similarity score; every tool output with tool ID, version, and response payload), authority snapshot (actor ID, authorized scope, policy versions in force, model version, deployment version), decision metadata (outcome, structured reasoning identifying which factors drove the decision, confidence score, fallback applied), and a data access record (which fields and systems were touched, by which agent, with PII detection). Verbosity is configurable at the observability layer; the L1 record itself is non-configurable for boundary events because regulatory record-keeping (EU AI Act Article 12, SR 11-7) requires it. PII is redacted at export time with a redaction manifest proving what was removed and why — L1 itself stays unredacted to preserve forensic completeness.
Business Req	4.2	Logging & Traceability	Yes, through three correlation primitives, not one. OpenTelemetry trace ID enables operational pivoting in Splunk, Azure Monitor, and any APM tool. The Akka-native executionId is the primary key linking all L1 events in a single decision; it survives async boundaries, durable workflow suspension, and region failover. The hash chain (previousEventHash) provides tamper-evident causal ordering and allows offline integrity verification of a multi-week investigation bundle. Practical effect: a fair-lending investigation pulls one executionId and gets the complete decision tree (every agent vote, every tool call, every policy evaluation, every HITL approval) with cryptographic guarantee that the record was not edited. Trace-only systems cannot offer that — traces are sampled, drop frequencies are not zero, and trace storage is mutable.
Business Req	4.3	Logging & Traceability	Yes, across two retention domains. Operational logs are exported to PNC-managed Splunk HEC, Azure Monitor, Google Cloud Logging, or any OTLP backend; PNC owns retention, indexing, and search, and the Akka Console offers built-in search and filter for live data. L1 evidence (governance) uses Akka's managed retention engine: jurisdiction-aware floors (EU AI Act Article 26 at least 6 months, DORA at least 5 years for financial entities, SR 11-7 technical documentation at 10 years, customer-defined extensions); automatic tiering from full to condensed to abstract to cold archive without operator intervention; legal hold (atomic freeze on a scope — an agent, an execution range, an identity — with retention sweeps skipping held records and survival of primary-region outage via separate archive store); the Evidence Vault for self-service export of a portable bundle (L1 events, policy decision records with input, evaluated controls, outcome, and violation reason, policy artifacts, authority snapshots, hash-chain verification, and a machine-readable manifest mapping each item to the regulatory control it satisfies) — one click for an OCC examiner, one click for a customer Article 86 request; and an optional Continuous Evidence Stream that pushes policy evaluations to GRC platforms (Vanta, Drata, Sprinto) as they occur.
Business Req	5.0	Reporting
Business Req	5.1	Reporting	Three layers, all available in the Akka Console and exportable to BI/reporting tools. Per-agent: invocation count, latency p50/p95/p99, error rate, payload sizes, token consumption, scope-violation rate, HITL override rate against the agent's recommendations, and rubber-stamping rate on the agent's HITL gates. Per-workflow: step completion rates, branch decisions taken, end-to-end latency, failure points, policy denials per step, and durable-execution metrics (suspended workflows, replay events). Per-model: latency, token usage in/out, error rate, fairness review status (cadence, last result, days until next required review under SR 11-7), drift posture (rolling baseline comparison), and evaluation pass rate. The agent and model views include the Agent Policy Passport — every agent and model has a passport showing applicable policies, last fairness review, current quotas, and active legal holds. This is the single page a CRO opens when a regulator asks for everything about a specific model.
Business Req	5.2	Reporting	Aggregate views across all services, agents, workflows, and tenants, with a Policy Governance Posture score on top. System health: consolidated throughput, error rates, and resource utilization, exportable to Splunk and Azure Monitor for unified enterprise visibility alongside non-Akka systems. AI-economic posture: token spend by tenant, business unit, model, and customer; cache-hit rate on durable memory; opportunities for AdaptiveML small-language-model substitution. Governance posture (composite 0–100 score): measures policy coverage, enforcement rate, staleness of fairness reviews, orphan detection (agents acting without policy bindings), HITL engagement quality, and jurisdiction coverage. Article-Mapped Compliance Dashboard: EU AI Act Article 12/13/14/26/50/72/86 status cards (Compliant / At Risk / Non-Compliant / Under Review / Not Assessed); a jurisdiction selector switches to SR 11-7, OCC, Colorado, California, or Singapore views. These flow into PNC's existing enterprise monitoring (Splunk, Azure Monitor) but are also self-contained inside Akka, meaning a board-level AI risk briefing can be generated without standing up a separate BI pipeline.
Business Req	5.3	Reporting	Yes — alignment is regulatory-mapped at the data level, not bolted on as a report layer. Akka ships pre-built policies for every major AI, banking, and privacy framework: full EU AI Act coverage (every operative article including 5, 12, 13, 14, 26, 50, 72, 86), SR 11-7 Federal Reserve Model Risk Management, OCC Bulletins 2011-12 and 2023-17 (third-party risk), FCRA and ECOA, NY DFS Part 500 and Circular Letter 7, CFPB AI guidance, GLBA Safeguards, FTC Safeguards Rule, SEC AI Rule, Colorado AI Act, California AB 2013 and SB 942, NIST AI 600-1 (all seven GenAI risks), NIST AI RMF, ISO 42001, MiFID II Article 17, DORA, GDPR Article 22, UK FCA Consumer Duty, PRA SS1/23, APRA CPS 234, Singapore FEAT and IMDA, China GB 45438-2025, South Korea AI Basic Act, Japan METI guidance, and 100+ more. New frameworks ship as continuous platform updates, not customer-modeling exercises. Per-control evidence linkage: every policy carries a manifest entry mapping to the regulatory clause it satisfies; report generation queries the L1 record for evidence and emits a citation-ready compliance bundle. Reports answer regulator questions directly: which agents acted, on what inputs, producing what outputs, under which credentials, with which policy versions in force, which HITL approver signed off, and whether the review duration was adequate — every column sourced from immutable L1 events. Right-to-Explanation (Article 86 / ECOA adverse action) is supported by a built-in Explanation Generator that produces customer-facing explanations as a templated narrative plus optional LLM refinement, with a compliance-officer approval gate before send.
Business Req	6.0	Alerts & Compliance
Business Req	6.1	Alerts & Compliance	Yes, and Akka distinguishes alerting from enforcement. Enforcement (sub-millisecond, runtime gate): non-compliant actions are blocked at execution time by the runtime policy gate before they happen; denials enter L1 with violation reason and policy version. Alerting (real-time, downstream): alert-relevant signals — error thresholds, latency spikes, output anomalies, scope-violation rate, rubber-stamping rate, policy-denial spike, drift baseline breach — flow via OpenTelemetry metrics, webhook, and the Akka Console to PNC's chosen platform (Splunk, Azure Monitor, PagerDuty, Teams). Investigation (case management): anomalies surface in the Behavioral Review dashboard with links to specific events, enabling compliance officers to triage without leaving the surface. The competitive distinction: bolt-on observability tools alert after a non-compliant action; Akka denies before and alerts on the denial.
Business Req	6.2	Alerts & Compliance	Yes, and the LLM evaluation framework operates at two points. Pre-emit: evaluation policies can gate output emission. A confabulation check failing above the configured threshold blocks the output from reaching the customer; the failure is logged, alerting fires, and the agent enters a fallback path (retry with different prompt, escalate to HITL, return policy-defined refusal). Post-emit (audit): for outputs that pass the gate, evaluation results are logged for trend analysis, fairness review, and continuous-improvement feedback. Configurable evaluators include factual consistency, content policy, output format, fairness markers (relevant for ECOA fair-lending posture on consumer outputs), and prompt-leakage detection. Critically the gate-time evaluator is part of the runtime, not an external evaluator, so the alert is on the denial event, not on a downstream scan that may complete after the customer has already seen the output.
Business Req	6.3	Alerts & Compliance	Akka provides the signals with regulatory semantics; PNC's chosen monitoring platform provides threshold management, escalation, and on-call routing. Native exports include Splunk HEC, Azure Monitor, Prometheus, OTLP, and webhook (any HTTP target); for PNC specifically, Splunk and Azure Monitor are production-validated paths. Escalation primitives in-platform: the Akka Console offers a built-in incident lifecycle (Investigate → Contain → Eradicate → Recover → Post-Incident) with Legal Hold and Incident Command controls — Quarantine Agent, Emergency Policy Override, Initiate Legal Hold, Create Investigation. These are the controls a compliance officer needs to act on an alert, not just receive it. Regulatory deadline tracking: for jurisdictions with reporting deadlines (CRA: 24h/72h/14d, DORA: 4h for EU financial entities), the Incident view shows countdown clocks and pre-fills templates.
Business Req	7.0	Access & Inventory
Business Req	7.1	Access & Inventory	Yes, on three axes that bolt-on tools cannot match. Authentication: OpenID Connect and JWT at service and API boundaries; mTLS for inter-service traffic in zero-trust networking mode. Authorization (per-event, not per-session): each L1 event captures the authority snapshot — which credential authorized this specific action, with what scope, under which policy version. This is finer-grained than IAM-level audit; it is per-decision audit. Inventory: every deployed service, agent, workflow, model binding, MCP connector, vector-store reference, and policy is registered in the platform inventory. The Agent Policy Passport view is the inventory's user-facing surface — one page per agent showing applicable policies, fairness-review status, quotas, holds, and authority bindings. Authority Gap Detection automatically surfaces any agent acting without a corresponding policy binding, so no orphaned executions hide in the inventory.
Business Req	7.2	Access & Inventory	Yes, and tied is structural, not a join. The same L1 event journal feeds operational observability (metrics, traces, logs), governance evidence (authority chains, policy enforcement, HITL approvals), and risk telemetry (scope violations, rubber-stamping, drift, fairness reviews). A governance team querying who accessed which agent under what credentials with what outcome and an SRE querying p99 latency for the same agent read the same record. There is no dual-write, no eventual consistency between an audit log and a metrics pipeline, and no risk that one of the two is missing data the other has. This is the single-pane-of-glass property — and it falls out of the architecture, not a UI integration.
Business Req	7.3	Access & Inventory	Yes. Every outbound connection — vector store, MCP connector, tool URL, database — is captured in the L1 record with the data-source identifier (endpoint, index, ID), the agent and authority that initiated the connection, the policy version that authorized it (and the scope check result), the retrieved payload (subject to PII redaction at export), and provenance metadata for retrieved content (source ID, ingestion timestamp, signature) — relevant for data-poisoning defense per NIST AI 600-1. A regulator can ask for every retrieval from a specific knowledge base over a specific period and Akka returns the answer with cryptographic integrity from the L1 chain.
Business Req	8.0	Integration & Ops
Business Req	8.1	Integration & Ops	Native exports, configuration-only, no custom code. SIEM: Splunk HEC (production-validated for PNC), Azure Sentinel via Azure Monitor (production-validated for PNC), QRadar via syslog/CEF, Chronicle via Google Cloud Logging. Observability: Prometheus, OpenTelemetry Collector, OTLP-compatible backends, Datadog, New Relic, Dynatrace. GRC (Continuous Evidence Stream): Vanta, Drata, Sprinto — policy evaluations push as compliance signals. Incident routing: PagerDuty, Opsgenie, ServiceNow, Teams, Slack via webhook. For PNC specifically, Splunk and Azure Monitor paths are first-class and cited in customer references.
Business Req	8.2	Integration & Ops	Observability is embedded in the runtime, not a sidecar, which means there is no separate observability agent to install, patch, or scale; telemetry emission is asynchronous so application throughput is unaffected; horizontal scalability is the runtime's scalability — Akka clusters scale to 10 million agentic transactions per second with scale-to-zero on idle workloads (validated in customer production: Verizon at 750% throughput improvement, Swiggy at 1.4M TPS aggregate); and the L1 evidence write path is approximately 1ms per event including SHA-256 hash, with retention sweep running as a background batch (1000 events/sec) without blocking writes. This is the architectural reason Akka's TCO is up to 90% lower than competing stacks — one runtime delivers orchestration, durable memory, observability, and governance instead of stitching four vendors together.
Business Req	8.3	Integration & Ops	OpenTelemetry instrumentation overhead is well under 1% of request latency in typical production deployments. L1 evidence write adds approximately 1ms per coordination boundary event (asynchronous, off the request path). Customer proof points: Swiggy operates sub-100ms end-to-end ML/AI decisioning at platform scale with full instrumentation enabled; Verizon reduced response times from 6 seconds to 2.4 seconds (60% reduction) with Akka while adding governance; aggregate availability is 99.9999% across multi-region deployments while emitting full L1 evidence. Trace sampling is configurable for the observability layer; L1 boundary events are not sampled because regulatory record-keeping requires non-sampled capture. This is intentional — it is the cost of compliance evidence, and it is amortized to approximately 1ms per event.
Sourcing Requirements	1	Licensing and Contacting
Sourcing Requirements	1.1	Licensing and Contacting	Akka (Lightbend, Inc. DBA Akka) is the Agentic Systems Platform — a single runtime that delivers durable execution, sub-10ms agent memory, multi-agent orchestration, and runtime-embedded governance for production-grade GenAI systems. Akka does not adapt a general APM tool to GenAI; it is purpose-built infrastructure for agentic AI in regulated environments. For PNC's GenAI observability and governance needs, Akka delivers four capabilities no other vendor combines in a single platform. First, runtime-witnessed evidence: every coordination boundary captured as an immutable, hash-chained L1 event by the runtime itself, satisfying EU AI Act Article 12, SR 11-7, and OCC record-keeping at the architectural level rather than as a logging add-on. Second, pre-execution policy enforcement: comprehensive policy coverage across major regulatory frameworks (EU AI Act, SR 11-7, OCC, FCRA/ECOA, NY DFS, NIST AI 600-1, ISO 42001, GDPR, DORA, MiFID II, Singapore FEAT, and 100+ more) gates every agent action before it runs; bolt-on observability tools can only flag violations after the fact. Third, production reliability: 99.9999% availability, sub-1-minute RTO with zero-byte RPO, no-downtime rolling updates, live CVE patching — directly aligned with PNC CEO Bill Demchak's stated bet that the AI winner will be the low-cost provider of really good products with trust behind it. Fourth, up to 90% infrastructure cost reduction versus assembled stacks (orchestration plus memory plus observability plus governance from four separate vendors), feeding directly into PNC's $350M continuous-improvement target. Akka is trusted in regulated enterprises at scale: 52 banks run Akka in production, and 2 billion people daily touch Akka-powered applications. Reference customers include Manulife (#1 life insurance company for AI maturity), Verizon (750% order-processing capacity gain), Swiggy, John Deere, Tubi, Dojo, and Llaama. PNC would join an existing enterprise customer base operating Akka under SR 11-7, OCC, EU AI Act, DORA, ISO 42001, and SOC 2 obligations.
Sourcing Requirements	1.2	Licensing and Contacting	Akka's key differentiators: (1) Runtime-embedded governance, not bolt-on observability — policies enforced at execution time by the runtime that is executing the decision, not after-the-fact analysis of logs the agent chose to emit; Arize, LangSmith, Datadog, and hyperscaler guardrails cannot replicate this without rewriting their runtimes. (2) Immutable, non-sampled evidence journal — SHA-256 hash-chained L1 events from day one; jurisdiction-aware retention floors; tamper-evident; admissible as regulatory defense, where competing tools sample traces and store mutable logs. (3) Multi-agent coordination governance — authority snapshots per event, scope-compliance checks on delegation, a Conflict and Consensus Matrix for voting patterns, an Authority Chain Auditor for visualizing delegation trees, and rubber-stamping detection on HITL gates; no general-purpose APM or observability tool offers any of this. (4) Comprehensive pre-built regulatory policy library, kept current by the platform team, covering the EU AI Act (every operative article), SR 11-7 Federal Reserve Model Risk, OCC Bulletins 2011-12 and 2023-17, FCRA/ECOA, NY DFS Part 500 and Circular Letter 7, CFPB AI guidance, GLBA/FTC Safeguards, SEC AI Rule, Colorado AI Act, California AB 2013 and SB 942, NIST AI 600-1 (all seven GenAI risks), NIST AI RMF, ISO 42001, MiFID II Article 17, DORA, GDPR Article 22, UK FCA Consumer Duty, PRA SS1/23, APRA CPS 234, Singapore FEAT/IMDA, China GB 45438-2025, South Korea AI Basic Act, and Japan METI guidance — among 100+ frameworks; new regulations ship as platform updates without forcing PNC to model regulations themselves. (5) Production reliability of a critical-systems runtime — 99.9999% availability, sub-1-minute RTO and zero-byte RPO, rolling updates, live CVE patching, sub-10ms durable memory (versus 200ms bolt-on stores), 52 banks in production, and 18 years of Akka platform reliability across 100,000+ deployments prior to the GenAI era. (6) Single runtime, not assembled stack — replaces the typical assemblage of Temporal (orchestration) plus Pinecone/Redis (memory) plus LangChain (agent framework) plus LangSmith/Arize (evaluation) plus a custom audit pipeline (governance); one vendor, one runtime, one evidence record, up to 90% infrastructure cost reduction. (7) Open standards, no lock-in — OpenTelemetry, OTLP, OpenID Connect, MCP, Kafka/AMQP, gRPC, HTTP/2; customer-selected LLM providers (OpenAI, Anthropic, Azure OpenAI, Gemini, Vertex); cloud-agnostic deployment across AWS, Azure, GCP, on-prem, and sovereign-cloud regions including US, EU, UK, Singapore, Japan, Australia, China, and Canada. (8) Banking-specific regulatory tooling — built-in Explanation Generator for ECOA adverse action notices and EU AI Act Article 86 right-to-explanation; fair-lending four-fifths-rule monitor; SR 11-7 cadence enforcement as a runtime gate (not a calendar reminder); DORA and CRA incident lifecycle with deadline countdown.
Sourcing Requirements	1.3	Licensing and Contacting	Akka integrates with open-source components including the OpenTelemetry SDK (CNCF project) and Apache Pekko (Apache Foundation) as underlying runtime components. LLM and model providers (e.g. OpenAI, Anthropic, Azure OpenAI, Google Gemini) are customer-selected and not bundled — PNC would arrange those provider relationships independently. A full software bill of materials (SBOM) listing all bundled dependencies is available upon request and will be noted in the Pricing Schedule where applicable. Notably, Akka itself is not derived from a third-party agent framework — the agentic, memory, durable-execution, and governance capabilities are first-party to the Akka SDK and runtime, which means PNC's contractual relationship is single-vendor for the platform.
Sourcing Requirements	1.4	Licensing and Contacting	No. Customers do not need to purchase separate third-party software licenses to operate Akka's core platform capabilities. LLM/model provider API access (e.g. OpenAI, Azure OpenAI, Anthropic) is obtained separately by PNC based on their preferred model provider and will not be included in Akka's pricing. Any such dependencies will be called out in the Pricing Schedule.
